"","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"DVA_FIN",58137.4296832142,57603.8877988652,56096.5237384235,53159.1466872234,54651.0798502101,60932.6863891748,70620.0151524967,79617.3033195574,82687.3928570448,65905.8754887577,82139.0505960733,91743.9248397879,91534.7683322369,97756.8013026845,103760.331180128
"DVA_INT",38834.5472333428,36338.5734599408,40196.6500705641,43287.8280487719,52064.4243946204,62772.7829500958,72107.5436528916,74667.4939819573,80865.5969044904,62717.7960122096,79663.0689145775,97991.7529966147,99642.2104264694,101529.802264265,100181.508556756
"DVA_INTrexI1",5370.45269637154,4369.31210625887,4373.28519154394,4520.44756541216,5304.58039387074,7405.82726467367,8507.32713295875,10998.0855024637,12033.6408858902,8031.04136858224,11437.0757896917,16674.7550811017,17542.7711475669,17947.4115135306,17124.585694567
"DVA_INTrexF",4284.2171998825,3818.41863427271,3950.51052191101,3798.54821413738,4470.41418261605,5698.37572049965,6618.41843108609,8205.4560283018,8940.0219980944,5976.12656304999,8436.86816486362,11309.0255134779,11955.2653386838,11916.77779057,11591.3741720617
"DVA_INTrexI2",1417.35070202063,1236.6810130477,1245.49945747329,1269.74012116321,1541.87526650652,2031.06889774685,2443.64282582017,3017.2081864041,3094.23614730806,1897.84937179706,2885.03925785878,4062.44533738433,4115.27340423807,4126.77212193259,4007.54620410914
"RDV_INT",384.055145367815,329.466422742448,348.932945053887,338.15831614056,432.907289247348,549.769962109132,686.731227090548,753.754184753283,910.158149659414,598.828474684624,957.748674067258,1433.30560857723,1388.68029604212,1279.744211008,1243.82685580593
"RDV_FIN",268.489055920284,240.187363696038,238.21268438507,212.789015756599,262.578355526972,365.016208641877,440.162104802738,482.08303944595,540.554761074197,363.373189118235,501.324840072229,699.011452207049,741.407338289332,700.556150449666,648.280356778859
"RDV_FIN2",19.5184635481905,17.211431368897,18.0344313887894,15.5274795756362,18.883038910325,29.1218796172603,34.7532792963811,43.7975690336379,43.3202311286376,22.8610992586996,35.0871478239755,51.5952747086118,53.4101172953038,54.4411663604711,50.5834637889294
"OVA_FIN",16723.6974558872,17382.946209035,18067.6668458048,17915.721651526,22053.6994150993,25352.6497523614,33083.6159497419,35774.5682265102,40704.4390999027,33263.969476242,42405.914710272,45655.0768472971,46313.0858775059,44658.6647092725,44342.0090199188
"MVA_FIN",19905.1845344571,18083.0118660051,16513.5274796998,17650.7408797061,19325.2066317848,18528.2067785358,20730.9848578609,21067.2375698708,20567.0002660074,19089.7462758535,21806.1146243061,21607.3249908414,23541.5296937843,22545.9476375976,23497.2558912593
"OVA_INT",6447.56051099577,6133.84361481107,6778.20658944883,7512.15230490133,9627.09787646055,11301.5174755608,12769.4648210019,13695.2250717107,15270.0657737989,11793.3707775075,16185.828974857,18901.0206394511,19914.1904836948,22792.1126733894,24159.767123291
"MVA_INT",6801.81859551482,5726.29038140148,5747.02604618675,6735.17487024642,7981.16438069353,8459.79111951443,9012.35525635699,9066.50095894294,8655.94126570919,7481.70408157134,9522.0304378017,10388.1635190574,11591.7831956799,13426.5880237208,14561.35540378
"DDC_FIN",234.281003612172,210.049970539104,204.011733998357,201.601545201107,244.107702178552,279.04388841896,351.118904537523,384.25118522721,410.194276550496,291.033980030201,417.143610945785,509.029008073087,549.162840969345,511.981590025972,514.482422687179
"DDC_INT",113.773762310647,94.3646043615021,104.011007147428,110.077105887267,148.8590366115,188.571800807457,221.588322369337,244.956584922606,267.785454371729,183.495954640136,299.886991484178,418.517179351614,438.959918559038,445.631545145358,440.760029864327
"ODC",2858.97619757012,2625.48169130153,2751.11455582449,2835.66582913868,3605.48433915522,4356.23815962725,4935.86890368517,5707.78031417256,6650.27988926013,4623.69304956731,6522.72603062141,8236.1812212738,8522.81748958987,9043.96796005342,9255.60164084234
"MDC",1594.98199401104,1247.53370755038,1177.56515427623,1276.3680388338,1539.06602663525,1714.78190331346,1981.44967809075,2209.25777825748,2289.93139999611,1724.50795236006,2348.04022739036,2831.59597786942,3097.05664193751,3360.60735199529,3618.82668004755
