"","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"DVA_FIN",50073.4818393134,48704.9735398308,47651.0682741594,45464.8840014133,46658.3940559182,50224.4238717191,57310.3574091344,62739.6444782621,63247.9387585433,50632.283609704,63155.9839279968,69052.154750888,68352.2972413374,73808.5906150213,79645.6182043642
"DVA_INT",29382.8820629465,27789.5053943001,31597.003439582,35308.3963894075,43754.7763543041,51027.7958109961,59925.5227784112,57596.7486678353,62562.5194724659,48800.5841720573,61270.6719739136,73810.9454489137,74548.9775280193,74147.5909647142,73755.034238334
"DVA_INTrexI1",1634.23761440148,1410.18797288668,1577.89604375168,1751.46291545548,2294.81402760057,2759.37622040787,3592.31506501684,3967.72731435703,5272.34620639612,3940.29463689707,5478.25638681491,7782.67961580271,7793.29386800184,7390.36987569461,7145.7709639757
"DVA_INTrexF",1851.64268445886,1627.32764287631,1763.94049561422,1802.24729507703,2264.35495875732,2728.0194565799,3518.25484069563,4079.55093805836,4638.67836107247,3135.58240876636,4295.04105415554,5715.29785858771,5996.78278537443,5854.70107043212,5836.81911387415
"DVA_INTrexI2",713.788848511245,629.132634656695,678.617319406779,700.489558803238,899.63779174336,1064.72497930235,1333.674611391,1406.51671137872,1528.65316468046,1003.8271059863,1512.1855577112,2041.11935544317,2000.01608879871,1925.18659203572,1896.9209797261
"RDV_INT",330.462663653566,283.219906639054,306.278186377936,303.033529678349,392.713472774889,486.014551207345,614.490973746586,653.408931123009,808.155183440174,542.964095844666,869.470724463126,1310.04236902655,1266.4021109034,1161.0994613453,1124.56565253138
"RDV_FIN",244.201014083846,213.160680941583,204.772881829434,188.180880694902,235.97765509683,324.923477219505,397.934773552534,425.674334865225,485.820476656903,327.6457251245,449.572786282866,635.402454945592,674.839068523878,634.983262776087,586.411852054577
"RDV_FIN2",5.66855634558917,5.5480009562446,6.84163921724813,6.142667766866,8.36061492480277,11.8160296873481,15.1156412245353,17.1573587452407,16.9884679655558,10.1183858065122,14.5379073841566,20.442340196032,20.127925339243,19.2634240922519,17.7598206430021
"OVA_FIN",12403.4968321752,12773.815620542,13617.8159640485,13667.9634970996,16886.8755144869,18389.4338735553,23917.937209363,25315.6533609784,27433.2120733514,22001.7214576648,28172.904174424,30071.0455687259,30618.216174458,29699.9555836779,28975.3792485988
"MVA_FIN",19710.1792103469,17829.474067523,16245.2920298492,17430.7563900672,19035.2380786192,18066.6173028999,20045.0039737808,20351.5460342034,19549.8534654701,18366.7807283042,20843.2995157151,20480.4212942427,22398.1906640278,21513.877700457,22396.9241556978
"OVA_INT",4556.23854854192,4212.86340091924,4681.86509120136,5494.4982052415,7142.89276840507,8258.95198616265,9598.19174405921,9822.9485181535,10272.7568210594,7594.87575228891,10594.1168168886,12382.5192020628,13139.1788442783,15625.8123247465,16779.4237899547
"MVA_INT",6701.69220787227,5612.96324272373,5627.40620361571,6642.37106570237,7870.15985510026,8296.37735398298,8814.50784099371,8812.86355732739,8292.32385409815,7209.42700807217,9156.22942950223,9938.98415638528,11159.637455427,12985.7517533749,14089.8538008161
"DDC_FIN",205.849672645868,181.316919518724,175.558853665013,179.475122430121,219.031759203462,243.110267694261,305.835907646902,329.31004309056,351.16351643599,251.337212598588,361.003055751051,438.725415264789,478.475631225312,445.050345695646,450.512651958722
"DDC_INT",90.9266483671065,72.922206486043,80.3752279291525,89.1877563830203,120.711376025818,149.562296067212,177.49569458757,188.535477765419,195.648223076813,135.960971065003,221.281119965091,302.692943951776,320.550488485674,327.935079454947,330.259999683341
"ODC",1004.99630209908,859.059810530992,905.231876409961,982.539356679402,1309.44113410421,1571.30589173414,1995.09689362883,2259.12340228896,2514.43971906167,1642.84285513655,2442.1085237612,3194.90187304846,3319.73867536232,3697.78720659758,3970.16961396653
"MDC",1501.81004375949,1145.73625208513,1074.59925259782,1190.82745114702,1430.26897638399,1557.07695904637,1791.19896036449,1991.16153359265,2004.22685557165,1539.32031543925,2087.75653311876,2515.1833158264,2795.82455561718,3066.66557292494,3322.96337766587
