"","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"DVA_FIN",315800.416952726,297500.099308816,285761.644505239,292277.51782194,321659.314070345,357407.291898906,407900.356887469,463435.82101406,477934.58141282,420380.72877432,473887.66795282,526744.990701056,556627.551965781,566862.559213864,581050.707933984
"DVA_INT",284163.22646494,277141.151982031,274568.890222319,288584.89413581,319283.802076817,346438.858389884,390727.855024213,448927.123573593,518634.235576229,472909.376448633,532677.471299732,594103.672523115,614904.706631688,622205.679525406,642743.878926596
"DVA_INTrexI1",59255.5858606928,55405.5621097161,55939.7617653493,59774.362350901,69564.9450513123,77236.2858826297,88734.8692912008,107913.26617965,123067.711943575,105404.681093971,125172.599199233,147703.342540102,149612.286245371,161466.837928792,164684.631114057
"DVA_INTrexF",53883.5019118278,51792.3867140641,51938.3584014589,53790.9552939431,62479.197426485,68337.1152236989,78669.9414299976,87480.1579336707,95985.0904815769,86048.3144534229,97957.6484282768,109981.330332472,108775.833775094,110988.431101625,117754.980300528
"DVA_INTrexI2",14320.3735353285,13594.284614989,13628.9505252289,14811.9552624532,18109.3220641447,20311.3041677373,24657.2985729216,28892.5160671165,31846.8327310034,24617.1874074498,31032.0732951027,37087.1652696493,36010.9771955748,37195.060383047,38518.0428307331
"RDV_INT",38054.0852728053,34815.1010577422,34766.6183934368,35843.1272531088,40574.0233925795,44698.4651629665,48349.7130434426,47668.8335816743,50377.0312287914,39159.4622740847,46382.8211897569,49737.8951113664,51375.0871431483,55542.208743235,60713.5982551041
"RDV_FIN",52542.4476168108,48699.5758625878,46916.4972065515,47403.4391797443,50928.7873400519,50936.7290438899,54048.8436174389,55433.4244932894,51540.6290345836,42615.2008501782,51919.1567840862,52475.3972413473,54704.8144684956,50903.4208854212,53839.350455926
"RDV_FIN2",5059.96288749217,4584.16727988865,4672.16911681268,4589.88171967077,5270.94239175484,5668.01690649457,6621.02625357083,7075.35825409809,6869.95239303644,5071.78097648651,6563.53114634546,7187.16066913027,7245.55917225524,6621.16800890774,6811.76189511058
"OVA_FIN",28795.333284413,24696.5379310972,23037.4330357202,23736.3488672307,29169.4801570686,34856.4304306908,43265.2090598467,49429.0846643499,56882.6030631619,36499.3637392614,46222.4777100348,59529.0113811388,62828.5405222366,65441.7956387581,67323.2345577689
"MVA_FIN",4161.52381568732,3509.93930418077,3313.52891514743,3442.88867683285,4299.4053388759,5465.50037755041,6872.02133622834,7846.38571881301,9585.55373793285,5992.52915024296,7825.03675503691,9891.48674714944,10963.934132671,10749.3570163619,10644.4714327048
"OVA_INT",24884.679806701,21210.213080688,20728.3081273804,22669.8651048371,28592.1941946484,34434.8585594017,41828.6517325495,46776.5464373276,61279.1084661496,41923.4002361467,54526.2212370382,71501.1886091731,73048.7542615909,73108.5664139021,74547.4266959697
"MVA_INT",3363.70817345893,2851.71019857249,2905.20144291343,3266.61525604595,4091.65010504681,5057.58753707701,6456.46931825245,7524.57828744805,10503.4557970538,7189.71976190859,9587.0657876622,12443.6961850885,13719.4992706758,12645.2728464417,12421.8637756022
"DDC_FIN",2979.00607907627,2483.16695570638,2214.02106825067,2110.40484169252,2400.38000571253,2765.03644698349,3302.50726716148,3699.13969426219,3914.38839568744,2616.4466253964,3316.09857555432,3896.75712220737,4166.13429077974,4412.53663983164,4825.36731657681
"DDC_INT",4605.88286600659,3722.91476238687,3423.54215419918,3393.46439510419,3973.77707555099,4532.79986306902,5288.46914626599,5726.7463888429,6648.13240678092,4520.4769812871,6007.41425230643,7268.48694612296,7397.03140405145,7714.19708155165,8507.76301298173
"ODC",22881.7739452978,18754.1942662917,18026.6725079108,19193.589840481,24734.9877332633,29165.2111467112,35372.4489172214,38357.7621469333,45309.6303669572,27924.7372574146,38041.4595214558,49923.3432017924,50372.7700637909,53202.9502359436,54672.6385134038
"MDC",3224.38485159936,2671.23448860934,2616.28308388499,2796.69032454051,3499.94740668695,4219.8092703774,5210.30495331371,5693.67254987355,6957.32902588571,3998.83447013604,5664.05126830184,7438.87013716409,7925.22280670458,7324.37839097177,7252.37267573808
