"","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"DVA_FIN",25456.0615226219,23755.8782958388,21338.0387530327,20221.6229966632,21769.7284174301,26067.7854190024,27452.2875794841,28177.0101006255,29705.4976420131,25667.7283016888,27537.8622358452,31163.0647570146,33906.5114961277,35578.3664524604,35112.5062262197
"DVA_INT",34080.0399197882,31766.5953393671,30021.0653708026,29808.3943296809,32942.0608244244,35639.3671248435,39348.7431513146,43264.1622910029,46487.9639783999,36774.776008252,45620.5588580543,54998.2781111496,55365.4654417467,57783.9218192343,59674.5076784588
"DVA_INTrexI1",1836.67132422345,1687.23591740218,1695.06728457125,1707.35872056173,2013.0241392144,2346.500076842,2394.56671268474,2919.98034285224,3459.4484749545,3077.91480821887,3918.76294092616,4584.42178743836,4965.826034413,5384.98253526633,5575.93808170815
"DVA_INTrexF",2642.58911667511,2687.93736934805,2404.77821186819,2392.98964234842,2756.0938389867,3487.1775685444,4207.93283958609,4757.6777090123,5610.53888621529,5165.45703586653,6095.66456202922,6442.89451437835,6829.17651953043,6416.82652484914,6750.93825599874
"DVA_INTrexI2",496.079145090449,459.841029627079,422.181419878396,460.743978324106,539.304989520187,608.268532489039,643.377243550477,710.403447666387,837.796077154286,686.472108905634,858.199478363553,1015.00485715776,1073.32435152872,1128.45518062925,1148.72593654023
"RDV_INT",6675.23240821359,5556.75087602885,5560.73292678877,6569.57149886829,7776.6548792058,8196.54605638295,8628.94960322531,8650.56370523902,8118.34888001687,7067.91619696177,8971.54149869112,9763.67987618607,11013.8818185512,12799.7810277591,13862.4642813611
"RDV_FIN",18956.3269167524,17032.0251274127,15408.5905204594,16721.62268507,18204.77729169,17200.8855769256,18881.4585955468,19199.9450985888,18311.8390145048,17394.0534521753,19681.3237077966,19304.062841683,21251.8227481472,20454.1659321905,21346.9061022736
"RDV_FIN2",343.750904821996,280.714142301058,298.698804419137,298.623307368311,371.288142830343,412.306526914497,382.150925409867,427.751920834371,377.5613498828,254.656812760193,380.880407119543,422.661425737601,480.08289129685,440.500109975297,440.002614371808
"OVA_FIN",3231.77848300898,2708.7812263961,2375.5967506273,2300.50363379586,2804.81977056408,3779.66214927927,4352.45524956355,4548.13351054938,5372.49385143904,3344.0634857861,4244.36457757034,5639.40998155372,6210.03987628666,6265.44993710252,6100.90315839534
"MVA_FIN",252.705111547374,219.44671855536,210.123826225787,192.512159780127,240.895803010268,333.603824764875,407.022109486574,437.140316898273,497.540346693681,333.070655739405,458.074989085821,648.712407938354,690.200723304868,650.529987499427,600.579845516431
"OVA_INT",4564.77718573524,3762.70114881006,3602.92310800254,3712.81987641469,4696.92549659531,5889.6114656202,7074.79249412365,7753.0717376476,9759.6857598041,5716.63813653811,8366.02393227618,11643.6271664608,11860.5702495764,11607.2588118738,11745.0671320501
"MVA_INT",336.97886303475,286.063723178888,308.209605271073,304.267273470727,393.19042997535,489.68942225349,616.41357759697,658.340441189549,810.267977336576,541.401128636648,868.878196983088,1312.85210837232,1272.53975145734,1168.71793652564,1132.02518118236
"DDC_FIN",608.368896894705,469.671025342321,438.07243537702,480.411798153302,574.234631220991,631.669682522057,734.679514846513,842.483679197302,827.362161197544,617.033882626278,814.792789562353,967.983455375055,1119.04478461796,1228.03768857276,1325.16089793391
"DDC_INT",816.894291892551,648.73263420956,576.141893669052,568.58185434258,662.804047642288,738.335500031631,847.825734718185,886.489872534749,968.420280842269,625.906974064452,899.857624257183,1087.69656574646,1150.44584744466,1190.45549427049,1321.89643183312
"ODC",4287.30712705922,3439.69418765647,3107.37822597642,3396.82312322178,4352.29479708977,4921.88733689031,5829.26827489271,6218.12674803119,6752.87142945462,4312.77275190296,6042.69825727471,7425.7156329525,8095.58105058664,8423.78751012229,8901.62750404933
"MDC",309.36131792976,264.239642211527,266.284121062872,278.199514967624,352.824488160822,410.183548922385,499.030885388055,541.041291898614,581.319667963668,409.914081362584,623.139053746628,806.855790411218,867.8334831843,840.01222675227,841.388889501036
